# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, M = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
# Prefactor m(q->0) c = 0.000253578
#t	m[q->0]
1.28e-07	120.173
1.44e-07	120.173
1.6e-07	120.173
1.76e-07	120.173
1.92e-07	120.173
2.08e-07	120.173
2.24e-07	120.173
2.4e-07	120.173
2.56e-07	120.173
2.88e-07	120.173
3.2e-07	120.173
3.52e-07	120.173
3.84e-07	120.173
4.16e-07	120.173
4.48e-07	120.173
4.8e-07	120.173
5.12e-07	120.173
5.76e-07	120.173
6.4e-07	120.173
7.04e-07	120.173
7.68e-07	120.173
8.32e-07	120.173
8.96e-07	120.173
9.6e-07	120.173
1.024e-06	120.173
1.152e-06	120.173
1.28e-06	120.173
1.408e-06	120.173
1.536e-06	120.173
1.664e-06	120.173
1.792e-06	120.172
1.92e-06	120.172
2.048e-06	120.172
2.304e-06	120.172
2.56e-06	120.172
2.816e-06	120.172
3.072e-06	120.172
3.328e-06	120.172
3.584e-06	120.172
3.84e-06	120.171
4.096e-06	120.171
4.608e-06	120.171
5.12e-06	120.171
5.632e-06	120.171
6.144e-06	120.17
6.656e-06	120.17
7.168e-06	120.17
7.68e-06	120.17
8.192e-06	120.169
9.216e-06	120.169
1.024e-05	120.168
1.1264e-05	120.168
1.2288e-05	120.167
1.3312e-05	120.167
1.4336e-05	120.166
1.536e-05	120.166
1.6384e-05	120.165
1.8432e-05	120.164
2.048e-05	120.163
2.2528e-05	120.162
2.4576e-05	120.161
2.6624e-05	120.16
2.8672e-05	120.159
3.072e-05	120.158
3.2768e-05	120.157
3.6864e-05	120.156
4.096e-05	120.154
4.5056e-05	120.152
4.9152e-05	120.15
5.3248e-05	120.148
5.7344e-05	120.146
6.144e-05	120.144
6.5536e-05	120.142
7.3728e-05	120.138
8.192e-05	120.134
9.0112e-05	120.13
9.8304e-05	120.126
0.000106496	120.122
0.000114688	120.118
0.00012288	120.114
0.000131072	120.11
0.000147456	120.102
0.00016384	120.094
0.000180224	120.086
0.000196608	120.078
0.000212992	120.071
0.000229376	120.063
0.00024576	120.055
0.000262144	120.047
0.000294912	120.031
0.00032768	120.015
0.000360448	120
0.000393216	119.984
0.000425984	119.968
0.000458752	119.952
0.00049152	119.937
0.000524288	119.921
0.000589824	119.889
0.00065536	119.858
0.000720896	119.827
0.000786432	119.795
0.000851968	119.764
0.000917504	119.733
0.00098304	119.702
0.00104858	119.67
0.00117965	119.608
0.00131072	119.546
0.00144179	119.484
0.00157286	119.422
0.00170394	119.36
0.00183501	119.299
0.00196608	119.237
0.00209715	119.176
0.0023593	119.053
0.00262144	118.932
0.00288358	118.81
0.00314573	118.689
0.00340787	118.569
0.00367002	118.449
0.00393216	118.33
0.0041943	118.211
0.00471859	117.974
0.00524288	117.74
0.00576717	117.507
0.00629146	117.277
0.00681574	117.048
0.00734003	116.821
0.00786432	116.596
0.00838861	116.372
0.00943718	115.931
0.0104858	115.496
0.0115343	115.068
0.0125829	114.647
0.0136315	114.232
0.0146801	113.824
0.0157286	113.422
0.0167772	113.026
0.0188744	112.252
0.0209715	111.501
0.0230687	110.771
0.0251658	110.063
0.027263	109.375
0.0293601	108.707
0.0314573	108.057
0.0335544	107.425
0.0377487	106.213
0.041943	105.064
0.0461373	103.974
0.0503316	102.939
0.054526	101.955
0.0587203	101.018
0.0629146	100.125
0.0671089	99.2727
0.0754975	97.6806
0.0838861	96.222
0.0922747	94.8804
0.100663	93.6418
