# eta = 0.515, tau = 0, delta = 0.1
# N = 256, D = 100, M = 126
# q_min = 0.1, q_max = 40
# h_initial = 1e-09, v_therm = 2.5
# t	q = 0.1	q = 0.2	q = 0.3	q = 0.4	q = 0.5	q = 0.6	q = 0.7	q = 0.8	q = 0.9	q = 1	q = 1.1	q = 1.2	q = 1.3	q = 1.4	q = 1.5	q = 1.6	q = 1.7	q = 1.8	q = 1.9	q = 2	q = 2.1	q = 2.2	q = 2.3	q = 2.4	q = 2.5	q = 2.6	q = 2.7	q = 2.8	q = 2.9	q = 3	q = 3.1	q = 3.2	q = 3.3	q = 3.4	q = 3.5	q = 3.6	q = 3.7	q = 3.8	q = 3.9	q = 4	q = 4.1	q = 4.2	q = 4.3	q = 4.4	q = 4.5	q = 4.6	q = 4.7	q = 4.8	q = 4.9	q = 5	q = 5.2	q = 5.4	q = 5.6	q = 5.8	q = 6	q = 6.2	q = 6.4	q = 6.6	q = 6.8	q = 7	q = 7.2	q = 7.4	q = 7.6	q = 7.8	q = 8	q = 8.2	q = 8.4	q = 8.6	q = 8.8	q = 9	q = 9.2	q = 9.4	q = 9.6	q = 9.8	q = 10	q = 10.4	q = 10.8	q = 11.2	q = 11.6	q = 12	q = 12.4	q = 12.8	q = 13.2	q = 13.6	q = 14	q = 14.4	q = 14.8	q = 15.2	q = 15.6	q = 16	q = 16.4	q = 16.8	q = 17.2	q = 17.6	q = 18	q = 18.4	q = 18.8	q = 19.2	q = 19.6	q = 20	q = 20.8	q = 21.6	q = 22.4	q = 23.2	q = 24	q = 24.8	q = 25.6	q = 26.4	q = 27.2	q = 28	q = 28.8	q = 29.6	q = 30.4	q = 31.2	q = 32	q = 32.8	q = 33.6	q = 34.4	q = 35.2	q = 36	q = 36.8	q = 37.6	q = 38.4	q = 39.2	q = 40
0	14.8671	14.8394	13.4763	13.5523	11.6825	11.3654	11.2636	11.3503	8.99526	7.91023	7.41133	7.25079	7.09008	7.06557	7.10582	7.19402	6.88059	6.67858	6.55366	6.48801	6.43561	6.41584	6.4183	6.43795	6.38246	6.34714	6.32726	6.32026	6.32178	6.33156	6.34771	6.36871	6.39552	6.42874	6.46778	6.51125	6.56356	6.62053	6.68251	6.74865	6.84584	6.95262	7.07004	7.19838	7.34353	7.50399	7.68245	7.8818	8.12901	8.41076	9.10525	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3544	52.6478	61.9141	55.9763	41.6645	29.9268	22.3031	17.572	14.4772	12.4534	11.0884	10.1455	9.47328	9.00022	8.6771	8.46064	8.34491	8.29992	8.39687	8.73851	9.27765	9.96653	10.6279	10.8805	10.384	9.13845	7.66967	6.36424	5.40399	4.75912	4.36418	4.13514	4.01858	3.98338	3.99913	4.04877	4.1013	4.12137	4.06933	3.91109	3.65034	3.3229	2.98753	2.45307	2.16163	2.04522	2.02418	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05446	0.953234	0.835732	0.737595	0.680916	0.658746	0.649244	0.629743	0.585384	0.521155	0.459122	0.417398
1.6e-08	14.8671	14.8394	13.4763	13.5523	11.6825	11.3654	11.2636	11.3503	8.99526	7.91023	7.41133	7.25079	7.09008	7.06557	7.10582	7.19402	6.88059	6.67858	6.55366	6.48801	6.43561	6.41584	6.4183	6.43795	6.38246	6.34713	6.32726	6.32026	6.32178	6.33156	6.34771	6.36871	6.39552	6.42874	6.46778	6.51125	6.56356	6.62053	6.68251	6.74865	6.84584	6.95262	7.07004	7.19838	7.34353	7.50399	7.68245	7.8818	8.12901	8.41076	9.10525	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3544	52.6478	61.914	55.9763	41.6645	29.9268	22.3031	17.5719	14.4772	12.4534	11.0884	10.1455	9.47328	9.00021	8.6771	8.46064	8.34491	8.29992	8.39687	8.73851	9.27765	9.96653	10.6279	10.8805	10.384	9.13845	7.66967	6.36424	5.40399	4.75911	4.36418	4.13514	4.01858	3.98338	3.99913	4.04877	4.1013	4.12137	4.06933	3.91109	3.65034	3.3229	2.98753	2.45307	2.16163	2.04522	2.02418	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05446	0.953234	0.835732	0.737595	0.680916	0.658746	0.649244	0.629743	0.585384	0.521155	0.459122	0.417398
3.2e-08	14.8671	14.8394	13.4763	13.5523	11.6825	11.3654	11.2636	11.3503	8.99526	7.91023	7.41133	7.25079	7.09008	7.06557	7.10582	7.19402	6.88059	6.67857	6.55366	6.48801	6.43561	6.41584	6.4183	6.43795	6.38246	6.34713	6.32726	6.32026	6.32177	6.33156	6.34771	6.36871	6.39552	6.42874	6.46778	6.51125	6.56356	6.62053	6.68251	6.74865	6.84584	6.95262	7.07004	7.19837	7.34353	7.50398	7.68245	7.8818	8.12901	8.41076	9.10525	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3544	52.6478	61.914	55.9763	41.6645	29.9268	22.3031	17.5719	14.4772	12.4534	11.0884	10.1455	9.47327	9.00021	8.6771	8.46064	8.34491	8.29992	8.39686	8.73851	9.27765	9.96653	10.6279	10.8805	10.384	9.13845	7.66967	6.36424	5.40399	4.75911	4.36418	4.13514	4.01858	3.98338	3.99913	4.04876	4.1013	4.12137	4.06933	3.91108	3.65034	3.3229	2.98753	2.45307	2.16163	2.04522	2.02417	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05446	0.953234	0.835732	0.737595	0.680916	0.658746	0.649243	0.629743	0.585384	0.521155	0.459122	0.417398
4.8e-08	14.8671	14.8394	13.4763	13.5523	11.6825	11.3654	11.2636	11.3503	8.99526	7.91023	7.41133	7.25079	7.09008	7.06556	7.10582	7.19402	6.88059	6.67857	6.55366	6.48801	6.43561	6.41584	6.41829	6.43795	6.38246	6.34713	6.32726	6.32026	6.32177	6.33156	6.34771	6.36871	6.39552	6.42874	6.46778	6.51125	6.56356	6.62053	6.68251	6.74865	6.84584	6.95262	7.07004	7.19837	7.34353	7.50398	7.68245	7.8818	8.12901	8.41076	9.10525	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3544	52.6478	61.914	55.9763	41.6645	29.9268	22.3031	17.5719	14.4772	12.4534	11.0884	10.1455	9.47327	9.00021	8.67709	8.46064	8.34491	8.29992	8.39686	8.73851	9.27765	9.96652	10.6279	10.8805	10.384	9.13844	7.66967	6.36424	5.40399	4.75911	4.36418	4.13514	4.01858	3.98338	3.99913	4.04876	4.1013	4.12137	4.06933	3.91108	3.65034	3.3229	2.98753	2.45307	2.16163	2.04522	2.02417	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05446	0.953234	0.835732	0.737595	0.680916	0.658746	0.649243	0.629743	0.585384	0.521155	0.459122	0.417398
6.4e-08	14.8671	14.8394	13.4763	13.5523	11.6825	11.3654	11.2636	11.3503	8.99526	7.91023	7.41132	7.25079	7.09008	7.06556	7.10581	7.19402	6.88059	6.67857	6.55366	6.48801	6.43561	6.41584	6.41829	6.43795	6.38246	6.34713	6.32726	6.32026	6.32177	6.33155	6.3477	6.36871	6.39552	6.42874	6.46778	6.51125	6.56356	6.62053	6.68251	6.74865	6.84583	6.95262	7.07004	7.19837	7.34353	7.50398	7.68244	7.8818	8.12901	8.41075	9.10525	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3544	52.6478	61.914	55.9763	41.6645	29.9268	22.3031	17.5719	14.4772	12.4534	11.0884	10.1455	9.47327	9.00021	8.67709	8.46064	8.34491	8.29992	8.39686	8.73851	9.27765	9.96652	10.6279	10.8805	10.384	9.13844	7.66967	6.36424	5.40399	4.75911	4.36417	4.13514	4.01858	3.98338	3.99913	4.04876	4.1013	4.12137	4.06933	3.91108	3.65033	3.3229	2.98753	2.45307	2.16163	2.04522	2.02417	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05446	0.953234	0.835732	0.737595	0.680916	0.658746	0.649243	0.629743	0.585384	0.521155	0.459122	0.417398
8e-08	14.8671	14.8394	13.4763	13.5523	11.6825	11.3654	11.2636	11.3503	8.99526	7.91023	7.41132	7.25079	7.09008	7.06556	7.10581	7.19402	6.88059	6.67857	6.55366	6.48801	6.43561	6.41584	6.41829	6.43795	6.38245	6.34713	6.32726	6.32025	6.32177	6.33155	6.3477	6.36871	6.39552	6.42874	6.46778	6.51125	6.56356	6.62053	6.68251	6.74865	6.84583	6.95262	7.07004	7.19837	7.34352	7.50398	7.68244	7.8818	8.12901	8.41075	9.10525	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3544	52.6478	61.914	55.9763	41.6644	29.9268	22.3031	17.5719	14.4772	12.4534	11.0884	10.1455	9.47327	9.00021	8.67709	8.46064	8.34491	8.29992	8.39686	8.73851	9.27765	9.96652	10.6279	10.8805	10.384	9.13844	7.66967	6.36424	5.40399	4.75911	4.36417	4.13514	4.01858	3.98337	3.99913	4.04876	4.1013	4.12137	4.06933	3.91108	3.65033	3.3229	2.98753	2.45307	2.16163	2.04522	2.02417	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05446	0.953233	0.835732	0.737595	0.680916	0.658746	0.649243	0.629742	0.585384	0.521155	0.459122	0.417398
9.6e-08	14.8671	14.8394	13.4763	13.5523	11.6825	11.3654	11.2636	11.3503	8.99526	7.91023	7.41132	7.25079	7.09008	7.06556	7.10581	7.19402	6.88059	6.67857	6.55366	6.48801	6.43561	6.41584	6.41829	6.43795	6.38245	6.34713	6.32726	6.32025	6.32177	6.33155	6.3477	6.36871	6.39552	6.42874	6.46778	6.51125	6.56356	6.62053	6.68251	6.74865	6.84583	6.95262	7.07004	7.19837	7.34352	7.50398	7.68244	7.8818	8.12901	8.41075	9.10525	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3544	52.6478	61.914	55.9763	41.6644	29.9268	22.3031	17.5719	14.4772	12.4534	11.0884	10.1455	9.47327	9.00021	8.67709	8.46064	8.34491	8.29992	8.39686	8.73851	9.27765	9.96652	10.6279	10.8805	10.384	9.13844	7.66967	6.36424	5.40399	4.75911	4.36417	4.13514	4.01858	3.98337	3.99913	4.04876	4.1013	4.12137	4.06933	3.91108	3.65033	3.3229	2.98753	2.45307	2.16163	2.04522	2.02417	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05446	0.953233	0.835732	0.737595	0.680916	0.658746	0.649243	0.629742	0.585384	0.521155	0.459122	0.417398
1.12e-07	14.8671	14.8394	13.4763	13.5523	11.6825	11.3654	11.2636	11.3503	8.99525	7.91023	7.41132	7.25079	7.09008	7.06556	7.10581	7.19401	6.88059	6.67857	6.55366	6.488	6.4356	6.41584	6.41829	6.43795	6.38245	6.34713	6.32726	6.32025	6.32177	6.33155	6.3477	6.36871	6.39552	6.42874	6.46777	6.51125	6.56356	6.62053	6.68251	6.74865	6.84583	6.95262	7.07004	7.19837	7.34352	7.50398	7.68244	7.8818	8.12901	8.41075	9.10525	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3544	52.6478	61.914	55.9763	41.6644	29.9268	22.3031	17.5719	14.4772	12.4534	11.0884	10.1455	9.47327	9.00021	8.67709	8.46064	8.34491	8.29992	8.39686	8.73851	9.27765	9.96652	10.6279	10.8805	10.384	9.13844	7.66967	6.36424	5.40399	4.75911	4.36417	4.13514	4.01858	3.98337	3.99913	4.04876	4.1013	4.12137	4.06933	3.91108	3.65033	3.3229	2.98753	2.45307	2.16163	2.04522	2.02417	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05446	0.953233	0.835732	0.737595	0.680916	0.658746	0.649243	0.629742	0.585384	0.521155	0.459122	0.417398
1.28e-07	14.8671	14.8394	13.4763	13.5523	11.6825	11.3654	11.2636	11.3503	8.99525	7.91023	7.41132	7.25078	7.09008	7.06556	7.10581	7.19401	6.88059	6.67857	6.55365	6.488	6.4356	6.41584	6.41829	6.43795	6.38245	6.34713	6.32726	6.32025	6.32177	6.33155	6.3477	6.36871	6.39552	6.42874	6.46777	6.51125	6.56355	6.62053	6.68251	6.74864	6.84583	6.95262	7.07003	7.19837	7.34352	7.50398	7.68244	7.8818	8.12901	8.41075	9.10525	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3543	52.6478	61.914	55.9763	41.6644	29.9268	22.3031	17.5719	14.4772	12.4534	11.0884	10.1455	9.47327	9.00021	8.67709	8.46064	8.34491	8.29992	8.39686	8.7385	9.27765	9.96652	10.6279	10.8805	10.384	9.13844	7.66967	6.36424	5.40399	4.75911	4.36417	4.13514	4.01858	3.98337	3.99913	4.04876	4.1013	4.12137	4.06933	3.91108	3.65033	3.3229	2.98753	2.45307	2.16163	2.04521	2.02417	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05445	0.953233	0.835731	0.737595	0.680916	0.658746	0.649243	0.629742	0.585384	0.521154	0.459122	0.417398
1.6e-07	14.8671	14.8394	13.4763	13.5523	11.6824	11.3654	11.2636	11.3503	8.99525	7.91022	7.41132	7.25078	7.09008	7.06556	7.10581	7.19401	6.88058	6.67857	6.55365	6.488	6.4356	6.41583	6.41829	6.43795	6.38245	6.34713	6.32726	6.32025	6.32177	6.33155	6.3477	6.36871	6.39552	6.42874	6.46777	6.51125	6.56355	6.62053	6.68251	6.74864	6.84583	6.95261	7.07003	7.19837	7.34352	7.50398	7.68244	7.88179	8.129	8.41075	9.10524	10.0429	11.3533	13.2308	16.0476	20.4272	27.503	38.3543	52.6478	61.914	55.9763	41.6644	29.9268	22.3031	17.5719	14.4772	12.4534	11.0884	10.1455	9.47327	9.00021	8.67709	8.46063	8.34491	8.29991	8.39686	8.7385	9.27764	9.96652	10.6279	10.8805	10.384	9.13844	7.66967	6.36424	5.40399	4.75911	4.36417	4.13514	4.01858	3.98337	3.99912	4.04876	4.1013	4.12137	4.06933	3.91108	3.65033	3.3229	2.98753	2.45307	2.16163	2.04521	2.02417	2.02029	1.94356	1.74894	1.50353	1.30303	1.18392	1.13329	1.12134	1.10785	1.05445	0.953233	0.835731	0.737595	0.680916	0.658746	0.649243	0.629742	0.585384	0.521154	0.459121	0.417397
