# eta = 0.5, tau = 0, delta = 0.1
# N = 256
# h_initial = 1e-09, D0 = 0.00625
#t	MSD	MSD'	D	mMSD	VACF
1.28e-07	4.8e-09	0.0375	0.00625	1256.47	-8.5728
1.44e-07	5.4e-09	0.0375	0.00624999	1256.47	-0.294486
1.6e-07	6e-09	0.0375	0.00624999	1256.47	-0.294485
1.76e-07	6.6e-09	0.0374999	0.00624999	1256.47	-0.294485
1.92e-07	7.2e-09	0.0374999	0.00624999	1256.47	-0.294485
2.08e-07	7.8e-09	0.0374999	0.00624999	1256.47	-0.294486
2.24e-07	8.4e-09	0.0374999	0.00624999	1256.47	-0.294485
2.4e-07	8.99999e-09	0.0374999	0.00624999	1256.47	-0.294485
2.56e-07	9.59999e-09	0.0374999	0.00624999	1256.47	-0.294485
2.88e-07	1.08e-08	0.0374999	0.00624999	1256.47	-0.294485
3.2e-07	1.2e-08	0.0374999	0.00624998	1256.47	-0.294485
3.52e-07	1.32e-08	0.0374999	0.00624998	1256.47	-0.294484
3.84e-07	1.44e-08	0.0374999	0.00624998	1256.47	-0.294484
4.16e-07	1.56e-08	0.0374999	0.00624998	1256.47	-0.294484
4.48e-07	1.68e-08	0.0374999	0.00624998	1256.47	-0.294484
4.8e-07	1.8e-08	0.0374999	0.00624998	1256.47	-0.294484
5.12e-07	1.92e-08	0.0374998	0.00624997	1256.47	-0.294484
5.76e-07	2.16e-08	0.0374998	0.00624997	1256.47	-0.294484
6.4e-07	2.39999e-08	0.0374998	0.00624997	1256.47	-0.294483
7.04e-07	2.63999e-08	0.0374998	0.00624997	1256.47	-0.294483
7.68e-07	2.87999e-08	0.0374998	0.00624996	1256.47	-0.294483
8.32e-07	3.11999e-08	0.0374998	0.00624996	1256.47	-0.294482
8.96e-07	3.35999e-08	0.0374997	0.00624996	1256.47	-0.294482
9.6e-07	3.59999e-08	0.0374997	0.00624995	1256.46	-0.294482
1.024e-06	3.83998e-08	0.0374997	0.00624995	1256.46	-0.294481
1.152e-06	4.31998e-08	0.0374997	0.00624994	1256.46	-0.294481
1.28e-06	4.79998e-08	0.0374996	0.00624994	1256.46	-0.29448
1.408e-06	5.27997e-08	0.0374996	0.00624993	1256.46	-0.29448
1.536e-06	5.75997e-08	0.0374995	0.00624992	1256.46	-0.294479
1.664e-06	6.23996e-08	0.0374995	0.00624992	1256.46	-0.294479
1.792e-06	6.71995e-08	0.0374995	0.00624991	1256.46	-0.294478
1.92e-06	7.19995e-08	0.0374994	0.00624991	1256.46	-0.294478
2.048e-06	7.67994e-08	0.0374994	0.0062499	1256.46	-0.294477
2.304e-06	8.63992e-08	0.0374993	0.00624989	1256.45	-0.294476
2.56e-06	9.5999e-08	0.0374992	0.00624987	1256.45	-0.294475
2.816e-06	1.05599e-07	0.0374992	0.00624986	1256.45	-0.294474
3.072e-06	1.15199e-07	0.0374991	0.00624985	1256.45	-0.294473
3.328e-06	1.24798e-07	0.037499	0.00624984	1256.44	-0.294471
3.584e-06	1.34398e-07	0.0374989	0.00624982	1256.44	-0.294471
3.84e-06	1.43998e-07	0.0374989	0.00624981	1256.44	-0.294469
4.096e-06	1.53598e-07	0.0374988	0.0062498	1256.44	-0.294468
4.608e-06	1.72797e-07	0.0374986	0.00624977	1256.43	-0.294466
5.12e-06	1.91996e-07	0.0374985	0.00624975	1256.43	-0.294464
5.632e-06	2.11195e-07	0.0374983	0.00624972	1256.42	-0.294462
6.144e-06	2.30394e-07	0.0374982	0.0062497	1256.42	-0.294459
6.656e-06	2.49593e-07	0.037498	0.00624967	1256.42	-0.294457
7.168e-06	2.68792e-07	0.0374979	0.00624965	1256.41	-0.294455
7.68e-06	2.87991e-07	0.0374977	0.00624962	1256.41	-0.294453
