# eta = 0.5
# tau = 0
# delta = 0.1
# rho = 0.95493
# q	c[q]	S[q]
0	-65.9862	0.015622
3.8147e-07	-65.9862	0.015622
7.62939e-07	-65.9862	0.015622
1.52588e-06	-65.9862	0.015622
3.05176e-06	-65.9862	0.015622
6.10352e-06	-65.9862	0.015622
1.2207e-05	-65.9862	0.015622
2.44141e-05	-65.9862	0.015622
4.88281e-05	-65.9862	0.015622
9.76563e-05	-65.9862	0.015622
0.000195313	-65.9862	0.015622
0.000390625	-65.9862	0.015622
0.00078125	-65.9862	0.015622
0.0015625	-65.9862	0.015622
0.003125	-65.9862	0.015622
0.00625	-65.9862	0.015622
0.0125	-65.9862	0.015622
0.025	-65.9678	0.0156263
0.05	-65.9614	0.0156278
0.1	-65.9253	0.0156362
0.2	-65.781	0.01567
0.4	-65.2064	0.0158059
0.8	-62.9486	0.0163635
1.2	-59.3269	0.0173451
1.6	-54.5419	0.0188382
2	-48.8523	0.0209861
2.4	-42.5553	0.0240169
2.8	-35.9649	0.0282933
3.2	-29.3895	0.0344058
3.6	-23.1107	0.0433481
4	-17.366	0.0568721
4.4	-12.3359	0.0782476
4.8	-8.13605	0.114033
5.2	-4.81557	0.178618
5.6	-2.36099	0.307259
6	-0.704791	0.597719
6.4	0.262377	1.33432
6.8	0.677222	2.83045
7.2	0.688684	2.92094
7.6	0.443616	1.73497
8	0.0745338	1.07663
8.4	-0.309611	0.771809
8.8	-0.62907	0.62472
9.2	-0.83523	0.556302
9.6	-0.909096	0.535297
10	-0.856941	0.549959
10.4	-0.703945	0.598008
10.8	-0.486819	0.682651
11.2	-0.246359	0.809549
11.6	-0.0208065	0.980518
12	0.159316	1.17943
12.4	0.274492	1.35524
12.8	0.31747	1.43505
13.2	0.292629	1.38781
13.6	0.213799	1.25654
14	0.101028	1.10678
14.4	-0.0231255	0.978394
14.8	-0.137196	0.884164
15.2	-0.223838	0.823893
15.6	-0.271907	0.79387
16	-0.277415	0.790569
16.4	-0.243336	0.811446
16.8	-0.178429	0.854418
17.2	-0.0953318	0.916561
17.6	-0.00827447	0.99216
18	0.0692105	1.07077
18.4	0.126262	1.1371
18.8	0.156082	1.17515
19.2	0.156603	1.17584
19.6	0.130389	1.14222
20	0.0838555	1.08705
20.4	0.0259843	1.02544
20.8	-0.0332428	0.969232
21.2	-0.0844331	0.925388
21.6	-0.120158	0.897068
22	-0.13593	0.88511
22.4	-0.130657	0.889072
22.8	-0.106566	0.907636
23.2	-0.0686153	0.938506
23.6	-0.0235523	0.978004
24	0.021241	1.0207
24.4	0.0589155	1.05961
24.8	0.0841644	1.0874
25.2	0.0939309	1.09854
25.6	0.0877292	1.09144
26	0.0675557	1.06896
26.4	0.0374282	1.03707
26.8	0.00264791	1.00253
27.2	-0.0310894	0.971168
27.6	-0.058588	0.947017
28	-0.0759179	0.932404
28.4	-0.0809431	0.928251
28.8	-0.0735464	0.934377
29.2	-0.0555333	0.94964
29.6	-0.0302483	0.971926
30	-0.00197735	0.998115
30.4	0.0247609	1.02422
30.8	0.0459212	1.04586
31.2	0.0585287	1.0592
31.6	0.0610803	1.06194
32	0.0537007	1.05405
32.4	0.0380409	1.0377
32.8	0.0169487	1.01645
33.2	-0.00602908	0.994276
33.6	-0.0272258	0.97466
34	-0.0434257	0.960183
34.4	-0.0523373	0.9524
34.8	-0.0529038	0.95191
35.2	-0.0454078	0.958441
35.6	-0.0313671	0.970918
36	-0.0132443	0.987511
36.4	0.00597512	1.00574
36.8	0.0232668	1.02272
37.2	0.0360356	1.03564
37.6	0.0424981	1.0423
38	0.0419229	1.0417
38.4	0.0346991	1.03427
38.8	0.0222295	1.02169
39.2	0.00667141	1.00641
39.6	-0.00942715	0.991078
40	-0.0235376	0.978017
