# q	c[q]	S[q]
0	-74.3986	0.0134813
0.1	-74.6504	0.0134364
0.2	-74.4889	0.0134652
0.3	-74.2203	0.0135132
0.4	-73.8457	0.0135809
0.5	-73.3662	0.0136684
0.6	-72.7837	0.0137763
0.7	-72.1001	0.0139051
0.8	-71.3179	0.0140555
0.9	-70.4398	0.0142282
1	-69.4688	0.0144242
1.1	-68.4083	0.0146445
1.2	-67.262	0.0148904
1.3	-66.0338	0.0151632
1.4	-64.7278	0.0154644
1.5	-63.3486	0.0157957
1.6	-61.9006	0.0161592
1.7	-60.3889	0.0165571
1.8	-58.8183	0.0169917
1.9	-57.1941	0.0174658
2	-55.5214	0.0179825
2.1	-53.8057	0.0185453
2.2	-52.0523	0.019158
2.3	-50.2669	0.019825
2.4	-48.4549	0.0205511
2.5	-46.6218	0.0213419
2.6	-44.7732	0.0222035
2.7	-42.9144	0.023143
2.8	-41.0508	0.0241682
2.9	-39.1878	0.0252881
3	-37.3305	0.026513
3.1	-35.4838	0.0278543
3.2	-33.6528	0.0293254
3.3	-31.8421	0.0309414
3.4	-30.0562	0.0327197
3.5	-28.2994	0.0346805
3.6	-26.5757	0.036847
3.7	-24.8891	0.0392459
3.8	-23.243	0.0419088
3.9	-21.6409	0.0448723
4	-20.0857	0.0481792
4.1	-18.5803	0.0518803
4.2	-17.1271	0.0560356
4.3	-15.7283	0.0607163
4.4	-14.3859	0.066008
4.5	-13.1015	0.0720132
4.6	-11.8764	0.0788559
4.7	-10.7116	0.0866873
4.8	-9.60797	0.0956921
4.9	-8.56589	0.106098
5	-7.58558	0.118189
5.2	-5.80974	0.148935
5.4	-4.27685	0.192063
5.6	-2.9795	0.254416
5.8	-1.90686	0.34776
6	-1.04518	0.493093
6.2	-0.378214	0.728861
6.4	0.112207	1.12406
6.6	0.445682	1.78051
6.8	0.642701	2.71847
7	0.724131	3.47511
7.2	0.710731	3.32291
7.4	0.622698	2.58046
7.6	0.479258	1.89175
7.8	0.298317	1.41526
8	0.096157	1.10446
8.2	-0.11279	0.900141
8.4	-0.316114	0.762821
8.6	-0.503534	0.668778
8.8	-0.666931	0.603873
9	-0.800334	0.559537
9.2	-0.899843	0.530486
9.4	-0.9635	0.513432
9.6	-0.991122	0.506369
9.8	-0.984096	0.508147
10	-0.945149	0.518235
10.4	-0.787568	0.563496
10.8	-0.557263	0.645948
11.2	-0.298199	0.773214
11.6	-0.0521074	0.951247
12	0.147271	1.16939
12.4	0.277901	1.37615
12.8	0.330974	1.48266
13.2	0.310352	1.43938
13.6	0.2303	1.29285
14	0.112052	1.12386
14.4	-0.0201801	0.980538
14.8	-0.143128	0.876595
15.2	-0.237777	0.810456
15.6	-0.291683	0.777065
16	-0.300071	0.772115
16.4	-0.265702	0.792809
16.8	-0.197653	0.837236
17.2	-0.109298	0.902932
17.6	-0.0158673	0.984633
18	0.0680331	1.07171
18.4	0.130564	1.14734
18.8	0.16419	1.1926
19.2	0.166433	1.19574
19.6	0.139807	1.15943
20	0.0910138	1.09832
20.8	-0.0338065	0.967819
21.6	-0.128004	0.888177
22.4	-0.141015	0.878195
23.2	-0.0758225	0.930598
24	0.0203139	1.02039
24.8	0.0886426	1.09551
25.6	0.0937679	1.1016
26.4	0.0408195	1.04183
27.2	-0.0324372	0.969082
28	-0.08103	0.926184
28.8	-0.079317	0.927631
29.6	-0.0334973	0.968104
30.4	0.0254223	1.02565
31.2	0.0620777	1.06503
32	0.057549	1.06
32.8	0.0186109	1.01865
33.6	-0.0286928	0.972553
34.4	-0.0559343	0.947853
35.2	-0.0489629	0.954054
36	-0.0147941	0.985658
36.8	0.0243447	1.02453
37.6	0.0452371	1.04657
38.4	0.0372458	1.03803
39.2	0.00744692	1.00738
40	-0.0249343	0.976062
