# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, S = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
# Prefactor m(q->0) c = 20.7828
# m(q->0) results stored in memory kernel array m_kernel[0][]
#t	q^2 m[0]	q^2 m[1]	q^2 m[2]	q^2 m[3]	q^2 m[4]	q^2 m[5]	q^2 m[6]	q^2 m[7]	q^2 m[8]	q^2 m[9]	q^2 m[10]	q^2 m[11]	q^2 m[12]	q^2 m[13]	q^2 m[14]	q^2 m[15]	q^2 m[16]	q^2 m[17]	q^2 m[18]	q^2 m[19]	q^2 m[20]	q^2 m[21]	q^2 m[22]	q^2 m[23]	q^2 m[24]	q^2 m[25]	q^2 m[26]	q^2 m[27]	q^2 m[28]	q^2 m[29]	q^2 m[30]	q^2 m[31]	q^2 m[32]	q^2 m[33]	q^2 m[34]	q^2 m[35]	q^2 m[36]	q^2 m[37]	q^2 m[38]	q^2 m[39]	q^2 m[40]	q^2 m[41]	q^2 m[42]	q^2 m[43]	q^2 m[44]	q^2 m[45]	q^2 m[46]	q^2 m[47]	q^2 m[48]	q^2 m[49]	q^2 m[50]	q^2 m[51]	q^2 m[52]	q^2 m[53]	q^2 m[54]	q^2 m[55]	q^2 m[56]	q^2 m[57]	q^2 m[58]	q^2 m[59]	q^2 m[60]	q^2 m[61]	q^2 m[62]	q^2 m[63]	q^2 m[64]	q^2 m[65]	q^2 m[66]	q^2 m[67]	q^2 m[68]	q^2 m[69]	q^2 m[70]	q^2 m[71]	q^2 m[72]	q^2 m[73]	q^2 m[74]	q^2 m[75]	q^2 m[76]	q^2 m[77]	q^2 m[78]	q^2 m[79]	q^2 m[80]	q^2 m[81]	q^2 m[82]	q^2 m[83]	q^2 m[84]	q^2 m[85]	q^2 m[86]	q^2 m[87]	q^2 m[88]	q^2 m[89]	q^2 m[90]	q^2 m[91]	q^2 m[92]	q^2 m[93]	q^2 m[94]	q^2 m[95]	q^2 m[96]	q^2 m[97]	q^2 m[98]	q^2 m[99]	q^2 m[100]	q^2 m[101]	q^2 m[102]	q^2 m[103]	q^2 m[104]	q^2 m[105]	q^2 m[106]	q^2 m[107]	q^2 m[108]	q^2 m[109]	q^2 m[110]	q^2 m[111]	q^2 m[112]	q^2 m[113]	q^2 m[114]	q^2 m[115]	q^2 m[116]	q^2 m[117]	q^2 m[118]	q^2 m[119]	q^2 m[120]
t	0	3.8147e-07	7.62939e-07	1.52588e-06	3.05176e-06	6.10352e-06	1.2207e-05	2.44141e-05	4.88281e-05	9.76563e-05	0.000195313	0.000390625	0.00078125	0.0015625	0.003125	0.00625	0.0125	0.025	0.05	0.1	0.2	0.4	0.8	1.2	1.6	2	2.4	2.8	3.2	3.6	4	4.4	4.8	5.2	5.6	6	6.4	6.8	7.2	7.6	8	8.4	8.8	9.2	9.6	10	10.4	10.8	11.2	11.6	12	12.4	12.8	13.2	13.6	14	14.4	14.8	15.2	15.6	16	16.4	16.8	17.2	17.6	18	18.4	18.8	19.2	19.6	20	20.4	20.8	21.2	21.6	22	22.4	22.8	23.2	23.6	24	24.4	24.8	25.2	25.6	26	26.4	26.8	27.2	27.6	28	28.4	28.8	29.2	29.6	30	30.4	30.8	31.2	31.6	32	32.4	32.8	33.2	33.6	34	34.4	34.8	35.2	35.6	36	36.4	36.8	37.2	37.6	38	38.4	38.8	39.2	39.6	40
1.28e-07	3769.42	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.39	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.86	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.88	997.745	992.261	986.945	981.174	974.604	967.436	960.279	953.698	947.832	942.336	936.627	930.226	922.995	915.205	907.399	900.126	893.641	887.7	881.623	874.735	866.988	859.082	851.806	845.369	839.34	833.014	825.811	817.526	808.39	798.976	789.986	781.978	775.041	768.404	760.453	751.91	744.564	738.111	731.477	723.619	713.849	701.981	688.336	673.658	658.954	645.289	633.58	624.422	617.973	613.914	611.506	609.709
1.44e-07	3769.42	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.36	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.86	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.88	997.745	992.261	986.945	981.174	974.604	967.435	960.279	953.698	947.832	942.336	936.627	930.226	922.995	915.205	907.399	900.126	893.641	887.7	881.623	874.735	866.988	859.082	851.806	845.369	839.34	833.014	825.811	817.525	808.39	798.976	789.986	781.978	775.04	768.404	760.453	751.909	744.564	738.11	731.477	723.619	713.849	701.981	688.336	673.658	658.954	645.288	633.58	624.422	617.973	613.914	611.506	609.709
1.6e-07	3769.42	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.86	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.88	997.745	992.26	986.945	981.174	974.604	967.435	960.279	953.698	947.832	942.336	936.627	930.225	922.995	915.205	907.399	900.126	893.641	887.7	881.623	874.735	866.988	859.082	851.806	845.369	839.34	833.014	825.811	817.525	808.39	798.976	789.986	781.978	775.04	768.404	760.453	751.909	744.564	738.11	731.477	723.618	713.849	701.981	688.336	673.658	658.954	645.288	633.58	624.422	617.973	613.914	611.506	609.709
1.76e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.86	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.88	997.745	992.26	986.945	981.174	974.603	967.435	960.278	953.698	947.832	942.336	936.627	930.225	922.995	915.205	907.399	900.126	893.641	887.7	881.623	874.735	866.988	859.082	851.806	845.369	839.34	833.014	825.811	817.525	808.39	798.975	789.986	781.978	775.04	768.404	760.452	751.909	744.564	738.11	731.477	723.618	713.849	701.981	688.336	673.658	658.954	645.288	633.58	624.422	617.973	613.914	611.506	609.709
1.92e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.86	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.88	997.745	992.26	986.945	981.174	974.603	967.435	960.278	953.698	947.832	942.335	936.627	930.225	922.995	915.205	907.399	900.126	893.641	887.7	881.623	874.735	866.988	859.082	851.806	845.368	839.34	833.014	825.811	817.525	808.389	798.975	789.986	781.978	775.04	768.404	760.452	751.909	744.563	738.11	731.477	723.618	713.849	701.981	688.336	673.658	658.954	645.288	633.579	624.422	617.972	613.914	611.506	609.709
2.08e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.86	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.745	992.26	986.945	981.174	974.603	967.435	960.278	953.698	947.832	942.335	936.627	930.225	922.995	915.205	907.399	900.126	893.641	887.7	881.623	874.735	866.988	859.082	851.806	845.368	839.34	833.014	825.811	817.525	808.389	798.975	789.986	781.978	775.04	768.404	760.452	751.909	744.563	738.11	731.477	723.618	713.849	701.981	688.336	673.658	658.954	645.288	633.579	624.422	617.972	613.914	611.506	609.709
2.24e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.745	992.26	986.945	981.174	974.603	967.435	960.278	953.698	947.832	942.335	936.627	930.225	922.994	915.205	907.399	900.126	893.64	887.7	881.622	874.735	866.988	859.082	851.806	845.368	839.339	833.014	825.81	817.525	808.389	798.975	789.985	781.978	775.04	768.403	760.452	751.909	744.563	738.11	731.477	723.618	713.849	701.981	688.336	673.658	658.954	645.288	633.579	624.422	617.972	613.914	611.506	609.709
2.4e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.745	992.26	986.945	981.174	974.603	967.435	960.278	953.698	947.832	942.335	936.627	930.225	922.994	915.205	907.399	900.126	893.64	887.7	881.622	874.734	866.988	859.082	851.806	845.368	839.339	833.013	825.81	817.525	808.389	798.975	789.985	781.977	775.04	768.403	760.452	751.909	744.563	738.11	731.477	723.618	713.849	701.981	688.336	673.658	658.953	645.288	633.579	624.422	617.972	613.914	611.506	609.709
2.56e-07	3769.41	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.35	1881.37	1881.42	1881.64	1882.53	1411.85	1324.52	1291.77	1272.42	1257.02	1243.76	1233.06	1225.38	1220.33	1216.65	1212.79	1207.66	1201.05	1193.59	1186.35	1180.21	1175.42	1171.45	1167.37	1162.36	1156.21	1149.43	1142.85	1137.15	1132.39	1128.1	1123.52	1118.11	1111.79	1104.98	1098.34	1092.42	1087.32	1082.62	1077.67	1071.94	1065.43	1058.61	1052.14	1046.4	1041.3	1036.33	1030.92	1024.73	1017.84	1010.7	1003.87	997.744	992.26	986.944	981.174	974.603	967.435	960.278	953.698	947.831	942.335	936.627	930.225	922.994	915.205	907.399	900.126	893.64	887.699	881.622	874.734	866.987	859.081	851.805	845.368	839.339	833.013	825.81	817.525	808.389	798.975	789.985	781.977	775.04	768.403	760.452	751.909	744.563	738.11	731.476	723.618	713.849	701.981	688.335	673.658	658.953	645.288	633.579	624.422	617.972	613.913	611.505	609.709
