# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, M = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
# Prefactor m(q->0) c = 3.86447
#t	m[q->0]
1.28e-07	3769.42
1.44e-07	3769.42
1.6e-07	3769.42
1.76e-07	3769.41
1.92e-07	3769.41
2.08e-07	3769.41
2.24e-07	3769.41
2.4e-07	3769.41
2.56e-07	3769.41
2.88e-07	3769.41
3.2e-07	3769.41
3.52e-07	3769.41
3.84e-07	3769.41
4.16e-07	3769.41
4.48e-07	3769.41
4.8e-07	3769.41
5.12e-07	3769.41
5.76e-07	3769.4
6.4e-07	3769.4
7.04e-07	3769.4
7.68e-07	3769.4
8.32e-07	3769.4
8.96e-07	3769.4
9.6e-07	3769.39
1.024e-06	3769.39
1.152e-06	3769.39
1.28e-06	3769.39
1.408e-06	3769.38
1.536e-06	3769.38
1.664e-06	3769.38
1.792e-06	3769.37
1.92e-06	3769.37
2.048e-06	3769.37
2.304e-06	3769.36
2.56e-06	3769.35
2.816e-06	3769.35
3.072e-06	3769.34
3.328e-06	3769.33
3.584e-06	3769.33
3.84e-06	3769.32
4.096e-06	3769.31
4.608e-06	3769.3
5.12e-06	3769.29
5.632e-06	3769.27
6.144e-06	3769.26
6.656e-06	3769.25
7.168e-06	3769.24
7.68e-06	3769.22
8.192e-06	3769.21
9.216e-06	3769.18
1.024e-05	3769.16
1.1264e-05	3769.13
1.2288e-05	3769.1
1.3312e-05	3769.08
1.4336e-05	3769.05
1.536e-05	3769.03
1.6384e-05	3769
1.8432e-05	3768.95
2.048e-05	3768.89
2.2528e-05	3768.84
2.4576e-05	3768.79
2.6624e-05	3768.74
2.8672e-05	3768.68
3.072e-05	3768.63
3.2768e-05	3768.58
3.6864e-05	3768.47
4.096e-05	3768.37
4.5056e-05	3768.26
4.9152e-05	3768.16
5.3248e-05	3768.06
5.7344e-05	3767.95
6.144e-05	3767.85
6.5536e-05	3767.74
7.3728e-05	3767.53
8.192e-05	3767.32
9.0112e-05	3767.11
9.8304e-05	3766.9
0.000106496	3766.69
0.000114688	3766.48
0.00012288	3766.27
0.000131072	3766.07
0.000147456	3765.65
0.00016384	3765.23
0.000180224	3764.81
0.000196608	3764.39
0.000212992	3763.98
0.000229376	3763.56
0.00024576	3763.14
0.000262144	3762.72
0.000294912	3761.89
0.00032768	3761.06
0.000360448	3760.22
0.000393216	3759.39
0.000425984	3758.56
0.000458752	3757.73
0.00049152	3756.9
0.000524288	3756.07
0.000589824	3754.42
0.00065536	3752.77
0.000720896	3751.12
0.000786432	3749.47
0.000851968	3747.83
0.000917504	3746.19
0.00098304	3744.55
0.00104858	3742.91
0.00117965	3739.65
0.00131072	3736.4
0.00144179	3733.16
0.00157286	3729.94
0.00170394	3726.72
0.00183501	3723.51
0.00196608	3720.32
0.00209715	3717.13
0.0023593	3710.8
0.00262144	3704.5
0.00288358	3698.25
0.00314573	3692.05
0.00340787	3685.88
0.00367002	3679.75
0.00393216	3673.67
0.0041943	3667.63
0.00471859	3655.66
0.00524288	3643.85
0.00576717	3632.19
0.00629146	3620.68
0.00681574	3609.33
0.00734003	3598.11
0.00786432	3587.04
0.00838861	3576.11
0.00943718	3554.66
0.0104858	3533.74
0.0115343	3513.32
0.0125829	3493.4
0.0136315	3473.94
0.0146801	3454.95
0.0157286	3436.38
0.0167772	3418.25
0.0188744	3383.18
0.0209715	3349.63
0.0230687	3317.5
0.0251658	3286.7
0.027263	3257.14
0.0293601	3228.73
0.0314573	3201.41
0.0335544	3175.12
0.0377487	3125.34
0.041943	3078.97
0.0461373	3035.62
