# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, M = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
#t	m[1]	m[2]	m[3]	m[4]	m[5]	m[6]	m[7]	m[8]	m[9]	m[10]	m[11]	m[12]	m[13]	m[14]	m[15]	m[16]	m[17]	m[18]	m[19]	m[20]	m[21]	m[22]	m[23]	m[24]	m[25]	m[26]	m[27]	m[28]	m[29]	m[30]	m[31]	m[32]	m[33]	m[34]	m[35]	m[36]	m[37]	m[38]	m[39]	m[40]	m[41]	m[42]	m[43]	m[44]	m[45]	m[46]	m[47]	m[48]	m[49]	m[50]	m[51]	m[52]	m[53]	m[54]	m[55]	m[56]	m[57]	m[58]	m[59]	m[60]	m[61]	m[62]	m[63]	m[64]	m[65]	m[66]	m[67]	m[68]	m[69]	m[70]	m[71]	m[72]	m[73]	m[74]	m[75]	m[76]	m[77]	m[78]	m[79]	m[80]	m[81]	m[82]	m[83]	m[84]	m[85]	m[86]	m[87]	m[88]	m[89]	m[90]	m[91]	m[92]	m[93]	m[94]	m[95]	m[96]	m[97]	m[98]	m[99]	m[100]	m[101]	m[102]	m[103]	m[104]	m[105]	m[106]	m[107]	m[108]	m[109]	m[110]	m[111]	m[112]	m[113]	m[114]	m[115]	m[116]	m[117]	m[118]	m[119]	m[120]
t	3.8147e-07	7.62939e-07	1.52588e-06	3.05176e-06	6.10352e-06	1.2207e-05	2.44141e-05	4.88281e-05	9.76563e-05	0.000195313	0.000390625	0.00078125	0.0015625	0.003125	0.00625	0.0125	0.025	0.05	0.1	0.2	0.4	0.8	1.2	1.6	2	2.4	2.8	3.2	3.6	4	4.4	4.8	5.2	5.6	6	6.4	6.8	7.2	7.6	8	8.4	8.8	9.2	9.6	10	10.4	10.8	11.2	11.6	12	12.4	12.8	13.2	13.6	14	14.4	14.8	15.2	15.6	16	16.4	16.8	17.2	17.6	18	18.4	18.8	19.2	19.6	20	20.4	20.8	21.2	21.6	22	22.4	22.8	23.2	23.6	24	24.4	24.8	25.2	25.6	26	26.4	26.8	27.2	27.6	28	28.4	28.8	29.2	29.6	30	30.4	30.8	31.2	31.6	32	32.4	32.8	33.2	33.6	34	34.4	34.8	35.2	35.6	36	36.4	36.8	37.2	37.6	38	38.4	38.8	39.2	39.6	40
1.28e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.538	113.644	113.652	113.668	113.75	114.078	115.401	89.8246	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.961	380.531	553.855	866.281	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.19	4659	5596.33	6420.74	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.66	3723.37	3702.92	3796.17	3992.97	4278.91	4626.45	4986.15	5286.79	5454.79	5449.44	5286.16	5024.47	4734	4468.78	4260.65	4124.09	4063.09	4075.72	4155.77	4292.18	4467.31	4655.57	4824.73	4941.77	4982.72	4941.56	4831.97	4680.88	4518.44	4370.36	4254.79	4182.43	4157.66	4179.65	4242.62	4335.97	4444.45	4549.49	4631.95	4676.17	4673.96	4626.62	4544.07	4441.59	4336.02	4242.64	4173.03	4133.29	4122.4	4130.74	4139.73	4123.84	4055.96	3915.96	3699.85	3425.16	3128.18	2852.58	2634.19	2488.92	2409.04	2367.96
1.44e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.538	113.644	113.652	113.668	113.75	114.078	115.401	89.8246	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.281	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.19	4659	5596.33	6420.74	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.65	3723.37	3702.92	3796.17	3992.97	4278.91	4626.45	4986.15	5286.79	5454.78	5449.43	5286.16	5024.47	4734	4468.78	4260.65	4124.09	4063.09	4075.72	4155.77	4292.18	4467.31	4655.57	4824.73	4941.77	4982.72	4941.56	4831.97	4680.88	4518.44	4370.36	4254.79	4182.43	4157.66	4179.65	4242.62	4335.97	4444.45	4549.49	4631.95	4676.17	4673.95	4626.62	4544.07	4441.59	4336.02	4242.64	4173.02	4133.29	4122.4	4130.74	4139.73	4123.84	4055.96	3915.96	3699.85	3425.16	3128.18	2852.58	2634.19	2488.92	2409.04	2367.96
1.6e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.538	113.644	113.652	113.668	113.75	114.078	115.401	89.8246	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.281	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.19	4659	5596.33	6420.74	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.65	3723.37	3702.92	3796.17	3992.97	4278.91	4626.45	4986.15	5286.79	5454.78	5449.43	5286.16	5024.47	4734	4468.78	4260.65	4124.08	4063.09	4075.72	4155.77	4292.18	4467.31	4655.57	4824.73	4941.77	4982.72	4941.56	4831.97	4680.88	4518.44	4370.36	4254.79	4182.42	4157.66	4179.65	4242.62	4335.97	4444.45	4549.49	4631.95	4676.17	4673.95	4626.62	4544.07	4441.59	4336.02	4242.64	4173.02	4133.29	4122.4	4130.74	4139.73	4123.83	4055.96	3915.96	3699.85	3425.16	3128.18	2852.58	2634.19	2488.92	2409.04	2367.96
1.76e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8246	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.281	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.19	4659	5596.33	6420.74	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.65	3723.37	3702.92	3796.17	3992.97	4278.91	4626.45	4986.15	5286.79	5454.78	5449.43	5286.16	5024.47	4734	4468.78	4260.65	4124.08	4063.09	4075.72	4155.76	4292.18	4467.31	4655.57	4824.73	4941.77	4982.72	4941.56	4831.97	4680.88	4518.44	4370.35	4254.79	4182.42	4157.66	4179.65	4242.62	4335.97	4444.44	4549.49	4631.95	4676.17	4673.95	4626.62	4544.07	4441.59	4336.02	4242.64	4173.02	4133.29	4122.4	4130.74	4139.73	4123.83	4055.96	3915.95	3699.85	3425.16	3128.18	2852.58	2634.19	2488.92	2409.04	2367.96
1.92e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8246	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.281	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.19	4659	5596.33	6420.74	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.65	3723.37	3702.92	3796.17	3992.97	4278.91	4626.45	4986.15	5286.79	5454.78	5449.43	5286.16	5024.47	4734	4468.78	4260.64	4124.08	4063.09	4075.72	4155.76	4292.18	4467.31	4655.57	4824.73	4941.76	4982.72	4941.56	4831.97	4680.88	4518.43	4370.35	4254.79	4182.42	4157.66	4179.65	4242.62	4335.97	4444.44	4549.49	4631.95	4676.17	4673.95	4626.62	4544.07	4441.59	4336.02	4242.64	4173.02	4133.29	4122.4	4130.74	4139.73	4123.83	4055.96	3915.95	3699.85	3425.16	3128.18	2852.58	2634.19	2488.92	2409.04	2367.96
2.08e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8246	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.281	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.19	4659	5596.33	6420.74	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.65	3723.37	3702.92	3796.17	3992.97	4278.91	4626.45	4986.15	5286.79	5454.78	5449.43	5286.16	5024.47	4733.99	4468.78	4260.64	4124.08	4063.09	4075.72	4155.76	4292.18	4467.3	4655.57	4824.72	4941.76	4982.72	4941.56	4831.97	4680.88	4518.43	4370.35	4254.79	4182.42	4157.66	4179.64	4242.62	4335.96	4444.44	4549.48	4631.95	4676.17	4673.95	4626.62	4544.07	4441.59	4336.02	4242.64	4173.02	4133.29	4122.4	4130.74	4139.72	4123.83	4055.96	3915.95	3699.85	3425.16	3128.18	2852.58	2634.19	2488.92	2409.04	2367.96
2.24e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8246	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.281	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.19	4659	5596.33	6420.74	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.65	3723.37	3702.92	3796.17	3992.97	4278.91	4626.45	4986.15	5286.78	5454.78	5449.43	5286.16	5024.47	4733.99	4468.78	4260.64	4124.08	4063.09	4075.72	4155.76	4292.18	4467.3	4655.57	4824.72	4941.76	4982.72	4941.56	4831.97	4680.88	4518.43	4370.35	4254.79	4182.42	4157.66	4179.64	4242.62	4335.96	4444.44	4549.48	4631.95	4676.17	4673.95	4626.62	4544.07	4441.59	4336.02	4242.64	4173.02	4133.29	4122.4	4130.74	4139.72	4123.83	4055.96	3915.95	3699.85	3425.16	3128.18	2852.58	2634.19	2488.92	2409.04	2367.96
2.4e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8246	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.281	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.19	4659	5596.33	6420.73	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.65	3723.37	3702.92	3796.17	3992.97	4278.91	4626.45	4986.15	5286.78	5454.78	5449.43	5286.16	5024.47	4733.99	4468.78	4260.64	4124.08	4063.09	4075.72	4155.76	4292.18	4467.3	4655.57	4824.72	4941.76	4982.72	4941.56	4831.97	4680.88	4518.43	4370.35	4254.79	4182.42	4157.66	4179.64	4242.62	4335.96	4444.44	4549.48	4631.94	4676.17	4673.95	4626.62	4544.07	4441.59	4336.01	4242.64	4173.02	4133.29	4122.4	4130.73	4139.72	4123.83	4055.95	3915.95	3699.84	3425.16	3128.18	2852.58	2634.19	2488.92	2409.04	2367.96
2.56e-07	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	114.537	113.644	113.652	113.668	113.75	114.078	115.401	89.8245	89.3898	94.8302	104.395	118.583	138.959	168.326	211.496	276.96	380.531	553.855	866.281	1487.63	2888.59	6437.01	13634.4	14053.8	8339.55	5170.06	3702.13	2992.61	2661.04	2557.02	2623.89	2850.26	3250.71	3851.18	4659	5596.33	6420.73	6788.81	6556.63	5929.65	5217.43	4607.21	4158.4	3869.65	3723.37	3702.92	3796.17	3992.97	4278.91	4626.45	4986.15	5286.78	5454.78	5449.43	5286.16	5024.47	4733.99	4468.78	4260.64	4124.08	4063.09	4075.72	4155.76	4292.17	4467.3	4655.57	4824.72	4941.76	4982.72	4941.55	4831.96	4680.88	4518.43	4370.35	4254.79	4182.42	4157.66	4179.64	4242.62	4335.96	4444.44	4549.48	4631.94	4676.17	4673.95	4626.61	4544.07	4441.59	4336.01	4242.63	4173.02	4133.28	4122.4	4130.73	4139.72	4123.83	4055.95	3915.95	3699.84	3425.16	3128.18	2852.58	2634.19	2488.92	2409.04	2367.96
